#Date;Time;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Udc1;Udc2;Temp;Uac
18/01/2021;23:55:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;23:50:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;23:45:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;23:40:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;23:35:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;23:30:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;23:25:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;23:20:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;23:15:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;23:10:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;23:05:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;23:00:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;22:55:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;22:50:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;22:45:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;22:40:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;22:35:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;22:30:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;22:25:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;22:20:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;22:15:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;22:10:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;22:05:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;22:00:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;21:55:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;21:50:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;21:45:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;21:40:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;21:35:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;21:30:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;21:25:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;21:20:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;21:15:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;21:10:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;21:05:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;21:00:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;20:55:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;20:50:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;20:45:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;20:40:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;20:35:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;20:30:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;20:25:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;20:20:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;20:15:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;20:10:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;20:05:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;20:00:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;19:55:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;19:50:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;19:45:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;19:40:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;19:35:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;19:30:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;19:25:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;19:20:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;19:15:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;19:10:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;19:05:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;19:00:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;18:55:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;18:50:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;18:45:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;18:40:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;18:35:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;18:30:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;18:25:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;18:20:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;18:15:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;18:10:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;18:05:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;18:00:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;17:55:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;17:50:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;17:45:00;1;0;7442;0;0;0;0;0;0;0;0
18/01/2021;17:40:00;1;0;7442;0;0;2;1;133;131;20;218
18/01/2021;17:35:00;1;0;7442;6;0;2;2;144;142;20;214
18/01/2021;17:30:00;1;0;7442;6;0;2;2;139;138;20;216
18/01/2021;17:25:00;1;0;7442;6;0;3;2;176;174;20;216
18/01/2021;17:20:00;1;0;7442;6;0;7;4;316;316;20;216
18/01/2021;17:15:00;1;0;7442;6;0;10;4;323;322;21;216
18/01/2021;17:10:00;1;0;7442;6;0;15;4;317;319;21;216
18/01/2021;17:05:00;1;1;7442;6;0;22;5;341;340;21;217
18/01/2021;17:00:00;1;6;7442;6;0;27;8;348;348;21;217
18/01/2021;16:55:00;1;12;7442;6;0;29;13;350;352;21;218
18/01/2021;16:50:00;1;21;7441;6;0;33;19;367;368;21;218
18/01/2021;16:45:00;1;35;7440;6;0;36;25;372;374;21;218
18/01/2021;16:40:00;1;46;7437;6;0;40;29;372;373;21;216
18/01/2021;16:35:00;1;55;7433;6;0;43;35;384;385;21;218
18/01/2021;16:30:00;1;61;7428;6;0;46;39;387;389;21;217
18/01/2021;16:25:00;1;67;7423;6;0;49;43;390;391;22;220
18/01/2021;16:20:00;1;74;7418;6;0;52;47;393;394;22;218
18/01/2021;16:15:00;1;78;7411;6;0;54;49;396;397;21;214
18/01/2021;16:10:00;1;73;7405;6;0;48;44;311;310;21;215
18/01/2021;16:05:00;1;85;7399;6;0;50;47;183;183;21;216
18/01/2021;16:00:00;1;132;7391;6;0;77;68;184;184;22;217
18/01/2021;15:55:00;1;179;7380;6;0;102;90;254;255;22;218
18/01/2021;15:50:00;1;245;7365;6;0;137;122;293;293;22;220
18/01/2021;15:45:00;1;311;7344;6;0;171;155;285;286;23;222
18/01/2021;15:40:00;1;394;7318;6;0;213;199;278;279;23;222
18/01/2021;15:35:00;1;442;7285;6;0;235;223;276;277;24;220
18/01/2021;15:30:00;1;473;7248;6;0;251;239;275;276;24;221
18/01/2021;15:25:00;1;520;7208;6;0;274;263;290;291;24;221
18/01/2021;15:20:00;1;574;7165;6;0;301;290;296;296;25;221
18/01/2021;15:15:00;1;600;7117;6;0;314;303;291;291;25;221
18/01/2021;15:10:00;1;616;7067;6;0;323;312;288;289;25;221
18/01/2021;15:05:00;1;659;7015;6;0;343;334;292;292;26;219
18/01/2021;15:00:00;1;682;6961;6;0;357;347;293;293;26;219
18/01/2021;14:55:00;1;709;6903;6;0;370;359;291;291;26;219
18/01/2021;14:50:00;1;737;6844;6;0;384;373;288;288;27;219
18/01/2021;14:45:00;1;764;6783;6;0;398;388;288;288;27;219
18/01/2021;14:40:00;1;782;6719;6;0;409;401;286;288;27;219
18/01/2021;14:35:00;1;816;6653;6;0;425;415;287;287;28;217
18/01/2021;14:30:00;1;833;6585;6;0;433;425;289;289;28;216
18/01/2021;14:25:00;1;883;6516;6;0;460;450;296;296;29;217
18/01/2021;14:20:00;1;903;6441;6;0;470;458;296;296;29;217
18/01/2021;14:15:00;1;896;6364;6;0;466;456;286;287;29;218
18/01/2021;14:10:00;1;828;6289;6;0;438;427;340;339;29;220
18/01/2021;14:05:00;1;879;6220;6;0;460;453;393;394;30;221
18/01/2021;14:00:00;1;1043;6146;6;0;544;537;382;382;31;220
18/01/2021;13:55:00;1;1185;6058;6;0;614;608;373;374;32;218
18/01/2021;13:50:00;1;1271;5959;6;0;659;653;369;369;33;220
18/01/2021;13:45:00;1;1295;5853;6;0;671;664;368;369;33;221
18/01/2021;13:40:00;1;1321;5745;6;0;683;677;368;369;33;221
18/01/2021;13:35:00;1;1342;5635;6;0;694;688;368;369;33;219
18/01/2021;13:30:00;1;1354;5523;6;0;701;694;368;369;34;220
18/01/2021;13:25:00;1;1368;5411;6;0;710;706;369;369;34;222
18/01/2021;13:20:00;1;1394;5297;6;0;721;715;369;370;34;222
18/01/2021;13:15:00;1;1406;5180;6;0;727;722;369;370;34;222
18/01/2021;13:10:00;1;1419;5063;6;0;734;728;369;370;34;221
18/01/2021;13:05:00;1;1422;4945;6;0;735;729;369;370;34;220
18/01/2021;13:00:00;1;1425;4827;6;0;738;733;369;370;34;220
18/01/2021;12:55:00;1;1437;4708;6;0;745;739;369;370;34;220
18/01/2021;12:50:00;1;1444;4588;6;0;747;741;369;370;34;222
18/01/2021;12:45:00;1;1456;4468;6;0;754;749;370;371;34;222
18/01/2021;12:40:00;1;1473;4347;6;0;764;760;373;374;34;220
18/01/2021;12:35:00;1;1483;4224;6;0;768;763;375;376;34;217
18/01/2021;12:30:00;1;1481;4100;6;0;769;764;375;376;34;217
18/01/2021;12:25:00;1;1487;3972;6;0;771;766;374;375;34;220
18/01/2021;12:20:00;1;1489;3849;6;0;771;766;376;377;34;221
18/01/2021;12:15:00;1;1491;3724;6;0;771;767;377;378;34;220
18/01/2021;12:10:00;1;1476;3600;6;0;766;761;375;376;34;219
18/01/2021;12:05:00;1;1489;3476;6;0;771;766;379;380;34;219
18/01/2021;12:00:00;1;1482;3351;6;0;769;764;379;380;34;220
18/01/2021;11:55:00;1;1479;3228;6;0;767;762;380;381;34;223
18/01/2021;11:50:00;1;1470;3104;6;0;762;757;381;382;33;223
18/01/2021;11:45:00;1;1465;2982;6;0;760;755;384;385;33;222
18/01/2021;11:40:00;1;1454;2860;6;0;754;749;385;385;33;222
18/01/2021;11:35:00;1;1433;2739;6;0;744;739;385;386;33;221
18/01/2021;11:30:00;1;1425;2619;6;0;738;733;385;386;32;221
18/01/2021;11:25:00;1;1401;2501;6;0;732;727;385;386;32;222
18/01/2021;11:20:00;1;1390;2384;6;0;721;716;386;387;32;221
18/01/2021;11:15:00;1;1369;2268;6;0;711;706;386;387;31;221
18/01/2021;11:10:00;1;1348;2154;6;0;700;695;386;387;31;221
18/01/2021;11:05:00;1;1329;2041;6;0;690;684;385;386;30;219
18/01/2021;11:00:00;1;1292;1931;6;0;671;665;378;379;30;221
18/01/2021;10:55:00;1;1242;1823;6;0;648;643;373;374;30;220
18/01/2021;10:50:00;1;1248;1719;6;0;649;645;383;384;29;219
18/01/2021;10:45:00;1;1217;1615;6;0;635;629;381;382;29;219
18/01/2021;10:40:00;1;1171;1514;6;0;609;604;371;372;28;219
18/01/2021;10:35:00;1;1168;1413;6;0;608;602;380;381;28;220
18/01/2021;10:30:00;1;1144;1315;6;0;598;592;389;390;27;220
18/01/2021;10:25:00;1;1096;1220;6;0;573;566;379;380;27;220
18/01/2021;10:20:00;1;1065;1129;6;0;556;549;381;382;26;219
18/01/2021;10:15:00;1;1035;1040;6;0;541;534;381;382;26;220
18/01/2021;10:10:00;1;996;954;6;0;519;515;378;382;25;220
18/01/2021;10:05:00;1;949;871;6;0;495;488;367;368;25;219
18/01/2021;10:00:00;1;912;792;6;0;477;469;358;359;24;220
18/01/2021;09:55:00;1;877;716;6;0;459;452;367;368;24;220
18/01/2021;09:50:00;1;847;643;6;0;443;436;358;359;23;219
18/01/2021;09:45:00;1;810;573;6;0;425;417;358;359;23;216
18/01/2021;09:40:00;1;773;505;6;0;406;399;358;358;22;216
18/01/2021;09:35:00;1;735;441;6;0;387;379;358;359;22;217
18/01/2021;09:30:00;1;693;380;6;0;365;357;358;358;21;217
18/01/2021;09:25:00;1;659;322;6;0;348;338;360;361;21;217
18/01/2021;09:20:00;1;597;268;6;0;318;311;360;361;20;218
18/01/2021;09:15:00;1;560;218;6;0;298;290;371;372;20;218
18/01/2021;09:10:00;1;522;171;6;0;279;270;353;354;19;218
18/01/2021;09:05:00;1;454;128;6;0;245;235;347;347;19;217
18/01/2021;09:00:00;1;412;90;6;0;223;212;336;336;18;217
18/01/2021;08:55:00;1;92;56;6;0;62;57;374;374;17;217
18/01/2021;08:50:00;1;72;49;6;0;51;45;367;368;17;217
18/01/2021;08:45:00;1;67;42;6;0;49;43;366;368;17;217
18/01/2021;08:40:00;1;64;37;6;0;47;40;365;366;16;216
18/01/2021;08:35:00;1;60;31;6;0;45;38;364;365;16;217
18/01/2021;08:30:00;1;56;26;6;0;44;36;364;365;16;217
18/01/2021;08:25:00;1;52;22;6;0;43;33;364;364;16;217
18/01/2021;08:20:00;1;48;17;6;0;41;30;362;363;15;218
18/01/2021;08:15:00;1;43;13;6;0;39;27;360;362;15;216
18/01/2021;08:10:00;1;32;10;6;0;38;24;358;358;14;216
18/01/2021;08:05:00;1;24;7;6;0;36;21;355;356;14;216
18/01/2021;08:00:00;1;19;5;6;0;34;17;353;354;13;216
18/01/2021;07:55:00;1;12;0;6;0;32;13;345;347;13;216
18/01/2021;07:50:00;1;6;0;6;0;29;10;344;345;12;216
18/01/2021;07:45:00;1;1;0;6;0;27;7;342;341;12;216
18/01/2021;07:40:00;1;0;0;6;0;22;6;340;340;10;216
18/01/2021;07:35:00;1;0;0;12;0;12;11;348;348;9;217
18/01/2021;07:30:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;07:25:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;07:20:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;07:15:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;07:10:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;07:05:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;07:00:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;06:55:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;06:50:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;06:45:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;06:40:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;06:35:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;06:30:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;06:25:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;06:20:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;06:15:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;06:10:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;06:05:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;06:00:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;05:55:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;05:50:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;05:45:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;05:40:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;05:35:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;05:30:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;05:25:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;05:20:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;05:15:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;05:10:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;05:05:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;05:00:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;04:55:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;04:50:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;04:45:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;04:40:00;1;0;0;0;0;0;0;0;0;0;0
18/01/2021;04:35:00;1;0;0;0;0;0;0;0;0;0;0
