p
0
0
0
0
0
0
0
0
0
    0.0120
    0.0670
    0.0730
    0.3940
    0.5200
    0.7090
    0.7820
    0.8280
11.850
13.680
14.190
14.730
14.760
14.790
14.010
13.480
12.420
11.710
10.960
    0.9960
    0.8770
    0.7730
    0.6590
    0.5220
    0.0920
    0.0640
    0.0520
    0.0320
    0.0120
0
0
0
0
0
0
0
0
0
